,color,total,s,t,j
0,a,193.0,85.0,31.0,24.0
1,b,12133.0,3622.0,2100.0,2640.0
2,c,617.0,203.0,143.0,111.0
3,e,1031.0,434.0,351.0,115.0
4,f,48.0,3.0,11.0,9.0
5,g,3258.0,1021.0,670.0,676.0
6,i,24.0,10.0,10.0,4.0
7,j,31.0,12.0,13.0,0.0
8,k,1114.0,273.0,208.0,243.0
9,l,98.0,32.0,33.0,14.0
10,m,792.0,329.0,180.0,83.0
11,n,128.0,37.0,16.0,35.0
12,o,338.0,115.0,64.0,77.0
13,p,814.0,303.0,216.0,104.0
14,r,1281.0,495.0,249.0,143.0
15,s,239.0,85.0,52.0,33.0
16,t,188.0,56.0,19.0,42.0
17,w,1240.0,404.0,543.0,170.0
18,y,368.0,119.0,108.0,36.0
