,L,M,S,UNQ,X4XL,XL,XS,XXL,XXS,XXXL
0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0
1,54.0,0.0,106.0,209.0,233.0,24.0,60.0,252.0,263.0,243.0
2,7.0,0.0,23.0,46.0,49.0,0.0,0.0,58.0,58.0,59.0
3,75.0,0.0,138.0,134.0,222.0,29.0,3.0,299.0,305.0,331.0
4,85.0,0.0,207.0,223.0,355.0,48.0,1.0,396.0,400.0,417.0
5,69.0,1.0,149.0,260.0,355.0,44.0,30.0,334.0,356.0,353.0
6,14.0,2.0,22.0,45.0,59.0,0.0,0.0,113.0,114.0,107.0
7,118.0,4.0,255.0,225.0,351.0,46.0,10.0,410.0,413.0,429.0
8,34.0,0.0,107.0,143.0,188.0,6.0,0.0,177.0,177.0,180.0
9,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0
10,109.0,0.0,180.0,181.0,292.0,65.0,4.0,378.0,387.0,422.0
11,16.0,0.0,61.0,78.0,107.0,4.0,0.0,153.0,156.0,154.0
12,71.0,5.0,137.0,145.0,239.0,44.0,7.0,325.0,322.0,343.0
13,41.0,0.0,162.0,447.0,411.0,7.0,34.0,551.0,553.0,496.0
14,11.0,0.0,33.0,32.0,51.0,5.0,0.0,55.0,60.0,56.0
15,115.0,0.0,179.0,212.0,334.0,88.0,0.0,471.0,468.0,529.0
16,0.0,0.0,6.0,9.0,20.0,0.0,0.0,23.0,23.0,23.0
17,70.0,0.0,206.0,349.0,382.0,30.0,0.0,495.0,497.0,488.0
