,season,color,count
0,8,black,1259041
1,7,blue_dark,874690
2,9,black,860511
3,8,blue_dark,781371
4,9,blue_dark,758336
5,7,black,693689
6,7,white,316832
7,9,white,292034
8,8,rust,291966
9,8,green_dark,270609
10,9,khaki,264830
11,9,ecru,242777
12,7,mustand,231213
13,7,ecru,229457
14,9,beige,225094
15,9,blue_light,209364
16,8,khaki,208167
17,7,khaki,204822
18,7,blue,198818
19,7,pink,191384
20,8,mustand,171524
21,7,beige,166613
22,8,garnet,166378
23,7,blue_light,160858
24,9,blue,154540
25,8,brown,147223
26,8,ecru,143840
27,7,green,141595
28,9,green_dark,129931
29,8,beige,128071
30,8,pink,126741
31,8,grey_dark,124029
32,8,white,116544
33,8,blue,115417
34,7,green_dark,108277
35,8,grey,107868
36,9,pink,106467
37,8,red,106236
38,7,rust,103917
39,7,yellow,103824
40,7,red,100916
41,8,aubergine,100715
42,7,orange,93172
43,7,gray_light,88401
44,8,camel,86737
45,9,green,86202
46,8,gray_light,83243
47,7,garnet,80415
48,9,yellow,74473
49,9,green_light,74211
50,9,gray_light,73375
51,9,rust,71731
52,7,blue_klein,67867
53,8,blue_light,67722
54,9,red,65629
55,9,brown,64259
56,9,grey_dark,61220
57,7,grey_dark,61210
58,7,grey,58420
59,9,coral,55359
60,9,brick,53096
61,7,crimson,50675
62,7,brown,49907
63,9,grey,49397
64,9,camel,49396
65,8,taupe,48387
66,9,brown_light,45675
67,8,brown_light,43936
68,9,garnet,42808
69,9,mustand,42700
70,9,salmon,41943
71,8,green,41729
72,9,orange,41451
73,7,blue_turquoise,41422
74,7,coral,40112
75,7,green_light,38562
76,8,nude,36069
77,8,orange,34350
78,7,salmon,33781
79,9,blue_klein,33673
80,7,taupe,32404
81,9,taupe,29614
82,8,crimson,29084
83,8,blue_petrol,28031
84,7,camel,26327
85,7,brown_light,24758
86,8,blue_klein,23616
87,7,nude,23112
88,9,crimson,23044
89,9,sand,22242
90,8,yellow,21862
91,8,salmon,20634
92,9,ochre,20262
93,9,nude,20070
94,9,lemon,19351
95,8,green_light,18268
96,8,purple,17991
97,8,blue_turquoise,17891
98,9,fuchsia,17068
99,9,yellow_light,16735
100,9,strawberry,14598
101,9,indigo,13988
102,9,lilac,13696
103,7,lilac,13538
104,9,grey_blue,13013
105,9,blue_turquoise,11881
106,8,jade,11707
107,9,mint,11115
108,9,blue_petrol,9760
109,8,gold,9759
110,7,fuchsia,9578
111,9,mandarine,8929
112,9,baby_blue,7774
113,8,lemon,7378
114,7,blue_petrol,6916
115,9,purple,6905
116,8,coral,6510
117,7,aubergine,6325
118,9,pale_pink,6154
119,9,wine,5207
120,9,gold,4495
121,9,jade,3861
122,9,pistachio,3582
123,9,silver,3280
124,7,purple,3190
125,8,fuchsia,3160
126,9,aubergine,3118
127,7,pistachio,2100
128,7,gold,1451
129,8,silver,1070
