,z
0,"[0.0, 0.0, 0.41908610359244003, 0.41248507785043453, 0.4287281857921094, 0.4389343295632389, 0.45523938670802466, 0.45033690648747166, 0.43953658685324765, 0.4346202734366848]"
1,"[0.0, 0.0, 0.3173093367537812, 0.32465607002093044, 0.32890537302603523, 0.3764088793543369, 0.3594227875563279, 0.37495363736117343, 0.0, 0.0]"
2,"[0.0, 0.0, 0.4561037901507249, 0.44903670745038465, 0.4470890192320681, 0.4530327794067449, 0.4485151246838076, 0.43812909566235403, 0.42056712510576816, 0.3875111991119219]"
3,"[0.0, 0.0, 0.41265642042888795, 0.3789285851560724, 0.3774234288785261, 0.3921274480126951, 0.3903126443109684, 0.38893110445787277, 0.3456892108499495, 0.2596600586346503]"
4,"[0.4129538392107961, 0.0, 0.44887721607340453, 0.4386488738359609, 0.43783306422108254, 0.45549708903117697, 0.4755492696877553, 0.4891061240867543, 0.4476185947283908, 0.3817663817663817]"
5,"[0.37220882935745075, 0.4458223071368792, 0.427081102915955, 0.3925774150506049, 0.37576500624169035, 0.38829410581368223, 0.403047994966923, 0.39317998499350343, 0.36989714035515286, 0.39004342300085487]"
6,"[0.0, 0.0, 0.38538912356397886, 0.4502948697421783, 0.44504672830002195, 0.44495795554361894, 0.4103432961795999, 0.45447033234281853, 0.4139502103419021, 0.3646182764603817]"
7,"[0.3379124055490994, 0.0, 0.4183786243374087, 0.4201170830943534, 0.4198718895419652, 0.4271951840391279, 0.4239192497111596, 0.41042124853971873, 0.43879244955964425, 0.401117323007247]"
8,"[0.4232609117350148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"[0.0, 0.0, 0.3713939218973584, 0.34950811222270634, 0.3798057921904543, 0.3653603772540343, 0.38017737168389476, 0.40831033387823784, 0.4723063094169806, 0.6004889296255798]"
10,"[0.44506481493391137, 0.5042478960264195, 0.37032232312969326, 0.40359219804193436, 0.39193545784069284, 0.3979405315642078, 0.41133101181834064, 0.42425770123232726, 0.4193134246385832, 0.41024267026253314]"
11,"[0.0, 0.5441176470588236, 0.3776422101369617, 0.41492454492671693, 0.39753296088056933, 0.3879239110168305, 0.3685568740004163, 0.3595804062957872, 0.38094302211949266, 0.0]"
12,"[0.47762304564387936, 0.22857142857142856, 0.4011962100189631, 0.40639873775525465, 0.4295477300519947, 0.4474977509227802, 0.45925894959415364, 0.47208057482759125, 0.49033060262746303, 0.482497814727884]"
13,"[0.21648936170212765, 0.0, 0.4052962554067412, 0.39386028565360875, 0.39803256266616494, 0.4025848254229207, 0.42841633593286577, 0.42235445894886503, 0.4468776877912932, 0.3904645331039107]"
14,"[0.34075427525948143, 0.0, 0.33814631612526036, 0.3617454549995737, 0.36894501329402035, 0.3552426259683851, 0.36014674236031763, 0.3541063762940048, 0.3750160160518085, 0.3170839683284989]"
15,"[0.0, 0.0, 0.3657423862834742, 0.34145274448719903, 0.35366662847307234, 0.3673151062196812, 0.38647005872012913, 0.35914283815599607, 0.24126984126984125, 0.0]"
16,"[0.3475716987756655, 0.0, 0.46070891708298367, 0.44665420971797515, 0.45530403883419934, 0.48799868690507164, 0.4878817656319388, 0.46897840370082156, 0.5122235934399482, 0.4129424560714541]"
17,"[0.3415469247849409, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
