,producto_tronco_entero,count_tronco_entero,producto_tronco_superior_interior,count_tronco_superior_interior,producto_mochila,count_mochila,producto_tronco_superior_exterior,count_tronco_superior_exterior,producto_tronco_inferior,count_tronco_inferior,producto_bufanda,count_bufanda
0,Dress Black M,50350.0,Top Black M,71154.0,Bag Black UNQ,41804.0,Jacket Black M,62838.0,Pant Blue UNQ,190443.0,Scarf Blue Dark UNQ,62718.0
1,Dress Black S,46412.0,Top Black S,69263.0,Bag Rust UNQ,24318.0,Jacket Blue Dark M,62772.0,Jeans Blue UNQ,92825.0,Scarf Rust UNQ,40838.0
2,Dress Black L,39443.0,Top Black L,60076.0,Bag Brown UNQ,21243.0,Jacket Blue Dark S,58675.0,Jeans Blue Dark M,83468.0,Scarf Garnet UNQ,29424.0
3,Dress Blue Dark L,33392.0,Sweater Blue Dark M,45374.0,Bag Mustand UNQ,17260.0,Jacket Black S,55909.0,Jeans Blue M,68442.0,Scarf Pink UNQ,23333.0
4,Dress Blue Dark M,31128.0,Top Blue Dark M,42473.0,Bag Garnet UNQ,16844.0,Jacket Black L,48413.0,Jeans Blue Dark L,64358.0,Scarf Mustand UNQ,22914.0
5,Dress Blue Dark S,26289.0,Top White S,41701.0,Bag Blue Dark UNQ,15393.0,Jacket Blue Dark L,43925.0,Pant Black UNQ,63752.0,Scarf Red UNQ,19286.0
6,Dress Black XL,18391.0,Shirt Black M,40825.0,Bag Khaki UNQ,12356.0,Jacket Black XL,34489.0,Skirt Black S,57561.0,Scarf Ecru UNQ,18275.0
7,Jumpsuit Blue Dark S,16607.0,Sweater Blue Dark S,39878.0,Bag Nude UNQ,8069.0,Jacket Blue Dark XL,25493.0,Pant Blue Dark M,57098.0,Scarf Beige UNQ,17549.0
8,Jumpsuit Black S,16123.0,Top Blue Dark S,39878.0,Bag Red UNQ,7937.0,Jacket Black XXL,23382.0,Jeans Blue Dark XXL,56939.0,Scarf Blue UNQ,17064.0
9,Jumpsuit Black M,15839.0,Top White M,38206.0,Bag Green Dark UNQ,6509.0,Jacket Grey M,22409.0,Pant Black M,56116.0,Scarf Blue Petrol UNQ,13853.0
