,color,envios
0,aubergine,0.006800794549642962
1,baby_blue,0.00030972402835955883
2,beige,0.039423652081064964
3,black,0.18855204253228008
4,blue,0.05976946097795589
5,blue_dark,0.16621323791713374
6,blue_klein,0.011443889906769538
7,blue_light,0.029639858226218167
8,blue_petrol,0.003624786202920574
9,blue_turquoise,0.004328241399482547
10,brick,0.0031053899584872298
11,brown,0.021740749455017777
12,brown_light,0.008532054726958786
13,camel,0.011118666943124984
14,coral,0.009534501121107843
15,crimson,0.006147656319041435
16,ecru,0.034166602421275685
17,fuchsia,0.0017708079300266003
18,garnet,0.025962717638614238
19,gold,0.001636192764405742
20,gray_light,0.01642283191088156
21,green,0.016296875774833068
22,green_dark,0.031831465887480134
23,green_light,0.010038653107596556
24,grey,0.018003941604814333
25,grey_blue,0.0009568955327011344
26,grey_dark,0.01435277810592751
27,indigo,0.0006507369871066686
28,jade,0.0009801803181058234
29,khaki,0.041168482922374454
30,lemon,0.0016492540737186845
31,lilac,0.0017323880341088634
32,mandarine,0.00024172517848242793
33,mint,0.0014603198696459502
34,mustand,0.0290931751238887
35,nude,0.00608264083229428
36,ochre,0.0023443776830030416
37,orange,0.010143216347054488
38,pale_pink,0.0003152905473703673
39,pink,0.02958975955512089
40,pistachio,0.00046089322110406337
41,purple,0.0014460215561083833
42,red,0.020440039512825532
43,rust,0.03368085996824756
44,salmon,0.008087861062887149
45,sand,0.0018234533745275143
46,silver,0.0010321708780172308
47,strawberry,0.0005826289897979532
48,taupe,0.007356063916590406
49,white,0.04601361017536391
50,wine,7.443854834061523e-05
51,yellow,0.010946577825993453
52,yellow_light,0.0008793644737989589
